ID;Active (0/1);Name *;Categories (x,y,z...);Reference #
1;1;Taj mahal;4,8;Agra
8;1;Puri Jagannath;4,8;Puri
9;1;Konak sun Temple;4,8;Khurda
10;1;Chilika lake;4,8;Khurda,Ganjam
11;1;Lingaraj Temple;4,8;Khurda
12;1;Puri Beach;4,8;Puri
13;1;Lokonatha Shiv temple;4,8;Puri
14;1;Mata Matha;4,8;Puri
15;1;Dhauligiri Caves;4,8;Khurda
16;1;Udayagiri Caves;4,8;Khurda
17;1;Kandagiri Caves;4,8;Khurda
18;1;Raja Rani Temple;4,8;Khurda
19;1;Similipal National Park;4,8;Mayurbhanj
20;1;Nandan Kanan;4,8;Bhubaneswar
21;1;Barabati Durga;4,8;Cuttack
22;1;Ratna Giri;4,8;Jajpur
23;1;Kapilasa;4,8;Dhenkanal
24;1;Sapta Sajya;4,8;Dhenkanal
25;1;Khandadhar;4,8;Keonjhar
26;1;Joranda Gadi;4,8;Dhenkanal
27;1;Kalijai Temple;4,8;Khurdha
28;1;Puri Baliharchandi Temple;4,8;Puri
29;1;Daringbadi;4,8;Phulbani
30;1;Paradeep Port;4,8;Jagatsinghpur
31;1;Gopalapur Port;4,8;Ganjam
32;1;Kolab Dam;4,8;Koraput
33;1;Duduma Waterfall;4,8;Koraput
34;1;Gupteswara;4,8;Koraput
35;1;Tikarpada;4,8;Anugul
36;1;Hirakud Dam;4,8;Sambalpur
37;1;Sanaghagara Waterfall;4,8;Keonjhar
38;1;Badaghagara Waterfall;4,8;Keonjhar
39;1;Maa Tarini Temple ,Ghatgaon;4,8;Keonjhar
40;1;Taptapani;4,8;Ganjam
41;1;Panchalingeswar;4,8;Baleswar
42;1;Devkund;4,8;Mayurbhanj
