ID;Active (0/1);Name *;Categories (x,y,z...);Reference #;Tags (x,y,z...);Tags (x,y,z...)
1;1;Taj mahal;4,8;Agra;Taj mahal;Agra,Taj mahal
8;1;Puri Jagannath;4,8;Puri;Puri Jagannath;Puri,Puri Jagannath
9;1;Konak sun Temple;4,8;Khurda;Konak sun Temple;Khurda,Konak sun Temple
10;1;Chilika lake;4,8;Khurda,Ganjam;Chilika lake;Khurda,Ganjam,Chilika lake
11;1;Lingaraj Temple;4,8;Khurda;Lingaraj Temple;Khurda,Lingaraj Temple
12;1;Puri Beach;4,8;Puri;Puri Beach;Puri,Puri Beach
13;1;Lokonatha Shiv temple;4,8;Puri;Lokonatha Shiv temple;Puri,Lokonatha Shiv temple
14;1;Mata Matha;4,8;Puri;Mata Matha;Puri,Mata Matha
15;1;Dhauligiri Caves;4,8;Khurda;Dhauligiri Caves;Khurda,Dhauligiri Caves
16;1;Udayagiri Caves;4,8;Khurda;Udayagiri Caves;Khurda,Udayagiri Caves
17;1;Kandagiri Caves;4,8;Khurda;Kandagiri Caves;Khurda,Kandagiri Caves
18;1;Raja Rani Temple;4,8;Khurda;Raja Rani Temple;Khurda,Raja Rani Temple
19;1;Similipal National Park;4,8;Mayurbhanj;Similipal National Park;Mayurbhanj,Similipal National Park
20;1;Nandan Kanan;4,8;Bhubaneswar;Nandan Kanan;Bhubaneswar,Nandan Kanan
21;1;Barabati Durga;4,8;Cuttack;Barabati Durga;Cuttack,Barabati Durga
22;1;Ratna Giri;4,8;Jajpur;Ratna Giri;Jajpur,Ratna Giri
23;1;Kapilasa;4,8;Dhenkanal;Kapilasa;Dhenkanal,Kapilasa
24;1;Sapta Sajya;4,8;Dhenkanal;Sapta Sajya;Dhenkanal,Sapta Sajya
25;1;Khandadhar;4,8;Keonjhar;Khandadhar;Keonjhar,Khandadhar
26;1;Joranda Gadi;4,8;Dhenkanal;Joranda Gadi;Dhenkanal,Joranda Gadi
27;1;Kalijai Temple;4,8;Khurdha;Kalijai Temple;Khurdha,Kalijai Temple
28;1;Puri Baliharchandi Temple;4,8;Puri;Puri Baliharchandi Temple;Puri,Puri Baliharchandi Temple
29;1;Daringbadi;4,8;Phulbani;Daringbadi;Phulbani,Daringbadi
