ID;Active (0/1);Name *;Categories (x,y,z...);Reference #;EAN13;Tags,(x,y,z...);Feature(Name:Value:Position)
1;1;Taj mahal;4,8;Agra;Uttar Pradesh;Agra,Taj,mahal;State:Uttar Pradesh,Dist/Location:Agra
8;1;Puri Jagannath;4,8;Puri;Odisha;Puri,Puri,Jagannath;State:Odisha,Dist/Location:Puri
9;1;Konak sun Temple;4,8;Khurda;Odisha;Khurda,Konak,sun,Temple;State:Odisha,Dist/Location:Khurda
10;1;Chilika lake;4,8;Khurda,Ganjam;Odisha;Khurda,Ganjam,Chilika,lake;State:Odisha,Dist/Location:Khurda & Ganjam
11;1;Lingaraj Temple;4,8;Khurda;Odisha;Khurda,Lingaraj,Temple;State:Odisha,Dist/Location:Khurda
12;1;Puri Beach;4,8;Puri;Odisha;Puri,Puri,Beach;State:Odisha,Dist/Location:Puri
13;1;Lokonatha Shiv temple;4,8;Puri;Odisha;Puri,Lokonatha,Shiv,temple;State:Odisha,Dist/Location:Puri
14;1;Mata Matha;4,8;Puri;Odisha;Puri,Mata,Matha;State:Odisha,Dist/Location:Puri
15;1;Dhauligiri Caves;4,8;Khurda;Odisha;Khurda,Dhauligiri,Caves;State:Odisha,Dist/Location:Khurda
16;1;Udayagiri Caves;4,8;Khurda;Odisha;Khurda,Udayagiri,Caves;State:Odisha,Dist/Location:Khurda
17;1;Kandagiri Caves;4,8;Khurda;Odisha;Khurda,Kandagiri,Caves;State:Odisha,Dist/Location:Khurda
18;1;Raja Rani Temple;4,8;Khurda;Odisha;Khurda,Raja,Rani,Temple;State:Odisha,Dist/Location:Khurda
19;1;Similipal National Park;4,8;Mayurbhanj;Odisha;Mayurbhanj,Similipal,National,Park;State:Odisha,Dist/Location:Mayurbhanj
20;1;Nandan Kanan;4,8;Bhubaneswar;Odisha;Bhubaneswar,Nandan,Kanan;State:Odisha,Dist/Location:Bhubaneswar
21;1;Barabati Durga;4,8;Cuttack;Odisha;Cuttack,Barabati,Durga;State:Odisha,Dist/Location:Cuttack
22;1;Ratna Giri;4,8;Jajpur;Odisha;Jajpur,Ratna,Giri;State:Odisha,Dist/Location:Jajpur
23;1;Kapilasa;4,8;Dhenkanal;Odisha;Dhenkanal,Kapilasa;State:Odisha,Dist/Location:Dhenkanal
24;1;Sapta Sajya;4,8;Dhenkanal;Odisha;Dhenkanal,Sapta,Sajya;State:Odisha,Dist/Location:Dhenkanal
25;1;Khandadhar;4,8;Keonjhar;Odisha;Keonjhar,Khandadhar;State:Odisha,Dist/Location:Keonjhar
26;1;Joranda Gadi;4,8;Dhenkanal;Odisha;Dhenkanal,Joranda,Gadi;State:Odisha,Dist/Location:Dhenkanal
27;1;Kalijai Temple;4,8;Khurdha;Odisha;Khurdha,Kalijai,Temple;State:Odisha,Dist/Location:Khurdha
28;1;Puri Baliharchandi Temple;4,8;Puri;Odisha;Puri,Puri,Baliharchandi,Temple;State:Odisha,Dist/Location:Puri
29;1;Daringbadi;4,8;Phulbani;Odisha;Phulbani,Daringbadi;State:Odisha,Dist/Location:Phulbani
30;1;Paradeep Port;4,8;Jagatsinghpur;Odisha;Jagatsinghpur,Paradeep,Port;State:Odisha,Dist/Location:Jagatsinghpur
31;1;Gopalapur Port;4,8;Ganjam;Odisha;Ganjam,Gopalapur,Port;State:Odisha,Dist/Location:Ganjam
32;1;Kolab Dam;4,8;Koraput;Odisha;Koraput,Kolab,Dam;State:Odisha,Dist/Location:Koraput
33;1;Duduma Waterfall;4,8;Koraput;Odisha;Koraput,Duduma,Waterfall;State:Odisha,Dist/Location:Koraput
34;1;Gupteswara;4,8;Koraput;Odisha;Koraput,Gupteswara;State:Odisha,Dist/Location:Koraput
35;1;Tikarpada;4,8;Anugul;Odisha;Anugul,Tikarpada;State:Odisha,Dist/Location:Anugul
36;1;Hirakud Dam;4,8;Sambalpur;Odisha;Sambalpur,Hirakud,Dam;State:Odisha,Dist/Location:Sambalpur
37;1;Sanaghagara Waterfall;4,8;Keonjhar;Odisha;Keonjhar,Sanaghagara,Waterfall;State:Odisha,Dist/Location:Keonjhar
38;1;Badaghagara Waterfall;4,8;Keonjhar;Odisha;Keonjhar,Badaghagara,Waterfall;State:Odisha,Dist/Location:Keonjhar
39;1;Maa Tarini Temple ,Ghatgaon;4,8;Keonjhar;Odisha;Keonjhar,Maa,Tarini,Temple,Ghatgaon;State:Odisha,Dist/Location:Keonjhar
40;1;Taptapani;4,8;Ganjam;Odisha;Ganjam,Taptapani;State:Odisha,Dist/Location:Ganjam
