ID;Active (0/1);Name *;Categories (x,y,z...);Reference #;EAN13;Tags,(x,y,z...);Feature(Name:Value:Position)
75;1;Gateway of india;8;mumbai;Maharashtra;Gateway,of,india,mumbai,Maharashtra;State:Maharashtra,Dist/Location:mumbai
76;1;Mahalakshmi Temple;8;mumbai;Maharashtra;Mahalakshmi,Temple,mumbai,Maharashtra;State:Maharashtra,Dist/Location:mumbai
77;1;Siddhivinayak temple;8;mumbai;Maharashtra;Siddhivinayak,temple,mumbai,Maharashtra;State:Maharashtra,Dist/Location:mumbai
78;1;Chhatrapati Shivaji Terminus;8;mumbai;Maharashtra;Chhatrapati,Shivaji,Terminus,mumbai,Maharashtra;State:Maharashtra,Dist/Location:mumbai
79;1;Bhimashankar Temple;8;Khed;Maharashtra;Bhimashankar,Temple,Khed,Maharashtra;State:Maharashtra,Dist/Location:Khed
80;1;Dagdusheth Ganpati;8;Pune;Maharashtra;Dagdusheth,Ganpati,Pune,Maharashtra;State:Maharashtra,Dist/Location:Pune
81;1;Mahalakshmi Temple;8;Kolhapur;Maharashtra;Mahalakshmi,Temple,Kolhapur,Maharashtra;State:Maharashtra,Dist/Location:Kolhapur
82;1;Mount Mary Church;8;mumbai;Maharashtra;Mount,Mary,Church,mumbai,Maharashtra;State:Maharashtra,Dist/Location:mumbai
83;1;Global Vipassana Pagoda;8;mumbai;Maharashtra;Global,Vipassana,Pagoda,mumbai,Maharashtra;State:Maharashtra,Dist/Location:mumbai
84;1;Babulnath;8;mumbai;Maharashtra;Babulnath,mumbai,Maharashtra;State:Maharashtra,Dist/Location:mumbai
85;1;Tadoba National Park;8;Chandrapur;Maharashtra;Tadoba,National,Park,Chandrapur,Maharashtra;State:Maharashtra,Dist/Location:Chandrapur
86;1;Karla Caves;8;Lonavala;Maharashtra;Karla,Caves,Lonavala,Maharashtra;State:Maharashtra,Dist/Location:Lonavala
87;1;Essel World;8;Gorai,mumbai;Maharashtra;Essel,World,Gorai,mumbai,Maharashtra;State:Maharashtra,Dist/Location:Gorai,mumbai
88;1;Elephanta Caves and island;8;Gharapuri;Maharashtra;Elephanta,Caves,and,island,Gharapuri,Maharashtra;State:Maharashtra,Dist/Location:Gharapuri
89;1;Adlabs Imagica;8;Khopoli;Maharashtra;Adlabs,Imagica,Khopoli,Maharashtra;State:Maharashtra,Dist/Location:Khopoli
90;1;Aga Khan Palace;8;Pune;Maharashtra;Aga,Khan,Palace,Pune,Maharashtra;State:Maharashtra,Dist/Location:Pune
91;1;Shaniwar Wada;8;Pune;Maharashtra;Shaniwar,Wada,Pune,Maharashtra;State:Maharashtra,Dist/Location:Pune
92;1;Sinhagad Fort;8;Sinhagad;Maharashtra;Sinhagad,Fort,Sinhagad,Maharashtra;State:Maharashtra,Dist/Location:Sinhagad
93;1;Raja Dinkar Kelkar Museum;8;Pune;Maharashtra;Raja,Dinkar,Kelkar,Museum,Pune,Maharashtra;State:Maharashtra,Dist/Location:Pune
94;1;Parvati Hill;8;Pune;Maharashtra;Parvati,Hill,Pune,Maharashtra;State:Maharashtra,Dist/Location:Pune
95;1;Haji Ali Dargah;8;Pune;Maharashtra;Haji,Ali,Dargah,Pune,Maharashtra;State:Maharashtra,Dist/Location:Pune
