Active (0/1);Active (0/1);Name *;Categories (x,y,z...);Reference #;EAN13;Tags,(x,y,z...);Feature(Name:Value:Position)
377;1;Periyar National Park;8;Idukki,Kottayam;Kerela;Periyar,National,Park,Idukki,Kottayam,Pathanamthitta,Kerela;State:Kerela
379;1;Mahabodhi Temple;8;Bodh Gaya;Bihar;Mahabodhi,Temple,Bodh,Gaya,Bihar;State:Bihar,Dist/Location:Bodh Gaya
380;1;Golghar;8;Patna;Bihar;Golghar,Patna,Bihar;State:Bihar,Dist/Location:Patna
381;1;Takht Sri Patna Sahib;8;Patna;Bihar;Takht,Sri,Patna,Sahib,Patna,Bihar;State:Bihar,Dist/Location:Patna
382;1;Sanjay Gandhi Jaivik Udyan;8;Patna;Bihar;Sanjay,Gandhi,Jaivik,Udyan,Patna,Bihar;State:Bihar,Dist/Location:Patna
383;1;Vishnupad Mandir;8;Gaya;Bihar;Vishnupad,Mandir,Gaya,Bihar;State:Bihar,Dist/Location:Gaya
384;1;Patna Museum;8;Patna;Bihar;Patna,Museum,Patna,Bihar;State:Bihar,Dist/Location:Patna
385;1;Patan Devi;8;Patna;Bihar;Patan,Devi,Patna,Bihar;State:Bihar,Dist/Location:Patna
386;1;Funtasia Water Park;8;Patna;Bihar;Funtasia,Water,Park,Patna,Bihar;State:Bihar,Dist/Location:Patna
387;1;Agam Kuan;8;Patna;Bihar;Agam,Kuan,Patna,Bihar;State:Bihar,Dist/Location:Patna
388;1;Mahavir Mandir;8;Patna;Bihar;Mahavir,Mandir,Patna,Bihar;State:Bihar,Dist/Location:Patna
389;1;Mahatma Gandhi Setu;8;Terahrasia;Bihar;Mahatma,Gandhi,Setu,Terahrasia,Bihar;State:Bihar,Dist/Location:Terahrasia
390;1;Patna Planetarium;8;Patna;Bihar;Patna,Planetarium,Patna,Bihar;State:Bihar,Dist/Location:Patna
391;1;Tomb of Sher Shah Suri;8;Sasaram;Bihar;Tomb,of,Sher,Shah,Suri,Sasaram,Bihar;State:Bihar,Dist/Location:Sasaram
392;1;Srikrishna Science Centre;8;Patna;Bihar;Srikrishna,Science,Centre,Patna,Bihar;State:Bihar,Dist/Location:Patna
393;1;Kakolat Waterfalls;8;Nawada;Bihar;Kakolat,Waterfalls,Nawada,Bihar;State:Bihar,Dist/Location:Nawada
394;1;Nalanda University;8;Nalanda;Bihar;Nalanda,University,Nalanda,Bihar;State:Bihar,Dist/Location:Nalanda
395;1;Bodhi Tree;8;Bodh Gaya;Bihar;Bodhi,Tree,Bodh,Gaya,Bihar;State:Bihar,Dist/Location:Bodh Gaya
396;1;Muchalinda Lake;8;;Bihar;Muchalinda,Lake,Bihar;State:Bihar,Dist/Location:
397;1;Griddhakuta Peak;8;Rajgir;Bihar;Griddhakuta,Peak,Rajgir,Bihar;State:Bihar,Dist/Location:Rajgir
398;1;Rajgir Hot Springs;8;Rajgir;Bihar;Rajgir,Hot,Springs,Rajgir,Bihar;State:Bihar,Dist/Location:Rajgir
399;1;Buxar Fort;8;Buxar;Bihar;Buxar,Fort,Buxar,Bihar;State:Bihar,Dist/Location:Buxar
400;1;Navlakha Palace;8;Rajnagar;Bihar;Navlakha,Palace,Rajnagar,Bihar;State:Bihar,Dist/Location:Rajnagar
401;1;Hieun Tsang Memorial Hall;8;Kundalpur;Bihar;Hieun,Tsang,Memorial,Hall,Kundalpur,Bihar;State:Bihar,Dist/Location:Kundalpur
402;1;Jalmandir Temple;8;Pawapuri;Bihar;Jalmandir,Temple,Pawapuri,Bihar;State:Bihar,Dist/Location:Pawapuri
403;1;Karkat Waterfalls;8;Kaimur;Bihar;Karkat,Waterfalls,Kaimur,Bihar;State:Bihar,Dist/Location:Kaimur
404;1;Harmandir Sahib;8;Amritsar;Panjab;Harmandir,Sahib,Amritsar,Panjab;State:Panjab,Dist/Location:Amritsar
405;1;Jallianwala Bagh;8;Amritsar;Panjab;Jallianwala,Bagh,Amritsar,Panjab;State:Panjab,Dist/Location:Amritsar
406;1;Durgiana Temple;8;Amritsar;Panjab;Durgiana,Temple,Amritsar,Panjab;State:Panjab,Dist/Location:Amritsar
407;1;Akal Takht;8;Amritsar;Panjab;Akal,Takht,Amritsar,Panjab;State:Panjab,Dist/Location:Amritsar
408;1;Maharaja Ranjit Singh Museum;8;Amritsar;Panjab;Maharaja,Ranjit,Singh,Museum,Amritsar,Panjab;State:Panjab,Dist/Location:Amritsar
409;1;Wagah border ceremony;8;Wagah border;Panjab;Wagah,border,ceremony,Wagah,border,Panjab;State:Panjab,Dist/Location:Wagah border
410;1;Harike Wetland;8;Ferozepur;Panjab;Harike,Wetland,Ferozepur,Panjab;State:Panjab,Dist/Location:Ferozepur
411;1;ChattBir Zoo;8;Chhat;Panjab;ChattBir,Zoo,Chhat,Panjab;State:Panjab,Dist/Location:Chhat
412;1;Mukteshwar Mahadev Temple;8;Pathankot;Panjab;Mukteshwar,Mahadev,Temple,Pathankot,Panjab;State:Panjab,Dist/Location:Pathankot
413;1;Dilwara Temples;8;;Panjab;Dilwara,Temples,Panjab;State:,Dist/Location:
414;1;Aravalli Range;8;;Panjab;Aravalli,Range,Panjab;State:Panjab,Dist/Location:
415;1;Nakki Lake;8;;Panjab;Nakki,Lake,Panjab;State:Panjab,Dist/Location:
416;1;Alamgir Gurudwara;8;Ludhiana;Panjab;Alamgir,Gurudwara,Ludhiana,Panjab;State:Panjab,Dist/Location:Ludhiana
417;1;Damdama Sahib;8;Bhatinda;Panjab;Damdama,Sahib,Bhatinda,Panjab;State:Panjab,Dist/Location:Bhatinda
418;1;Devi Talab Mandir;8;Jalandhar;Panjab;Devi,Talab,Mandir,Jalandhar,Panjab;State:Panjab,Dist/Location:Jalandhar
419;1;Fatehgarh Sahib;8;Sirhind;Panjab;Fatehgarh,Sahib,Sirhind,Panjab;State:Panjab,Dist/Location:Sirhind
420;1;Golden Temple Amritsar;8;Amritsar;Panjab;Golden,Temple,Amritsar,Amritsar,Panjab;State:Panjab,Dist/Location:Amritsar
421;1;Gurudwara Baba Atal Sahib;8;Amritsar;Panjab;Gurudwara,Baba,Atal,Sahib,Amritsar,Panjab;State:Panjab,Dist/Location:Amritsar
422;1;Gurudwara Manji Sahib;8;Ludhiana;Panjab;Gurudwara,Manji,Sahib,Ludhiana,Panjab;State:Panjab,Dist/Location:Ludhiana
423;1;Mansa Devi Temple;8;Chandigarh;Panjab;Mansa,Devi,Temple,Chandigarh,Panjab;State:Panjab,Dist/Location:Chandigarh
424;1;Panch Mandir;8;Kapurthala;Panjab;Panch,Mandir,Kapurthala,Panjab;State:Panjab,Dist/Location:Kapurthala
425;1;Ram Tirth Temple;8;Amritsar;Panjab;Ram,Tirth,Temple,Amritsar,Panjab;State:Panjab,Dist/Location:Amritsar
