Active (0/1);Active (0/1);Name *;Categories (x,y,z...);Reference #;EAN13;Tags,(x,y,z...);Feature(Name:Value:Position)
426;1;Basilica of Bom Jesus;8;Bainguinim;Goa;Basilica,of,Bom,Jesus,Bainguinim,Goa;State:Goa,Dist/Location:Bainguinim
427;1;Dudhsagar Falls;8;Sonaulim;Goa;Dudhsagar,Falls,Sonaulim,Goa;State:Goa,Dist/Location:Sonaulim
428;1;Se Cathedral;8;Velha;Goa;Se,Cathedral,Velha,Goa;State:Goa,Dist/Location:Velha
429;1;Our Lady of the Immaculate Conception Church, Goa;8;Panjim;Goa;Our,Lady,of,the,Immaculate,Conception,Church,Goa,Panjim,Goa;State:Goa,Dist/Location:Panjim
430;1;Shanta Durga Temple;8;Bardez;Goa;Shanta,Durga,Temple,Bardez,Goa;State:Goa,Dist/Location:Bardez
431;1;Casino Royale Goa;8;Panjim;Goa;Casino,Royale,Goa,Panjim,Goa;State:Goa,Dist/Location:Panjim
432;1;Chapora Beach;8;Mapusa;Goa;Chapora,Beach,Mapusa,Goa;State:Goa,Dist/Location:Mapusa
433;1;Salim Ali Bird Sanctuary;8;Chorao;Goa;Salim,Ali,Bird,Sanctuary,Chorao,Goa;State:Goa,Dist/Location:Chorao
434;1;Park Hyatt Goa Resort and Spa;8;Cansaulim;Goa;Park,Hyatt,Goa,Resort,and,Spa,Cansaulim,Goa;State:Goa,Dist/Location:Cansaulim
435;1;Fatorda Stadium;8;Fatorda;Goa;Fatorda,Stadium,Fatorda,Goa;State:Goa,Dist/Location:Fatorda
436;1;Shree Ramnath Prasanna;8;Ponda;Goa;Shree,Ramnath,Prasanna,Ponda,Goa;State:Goa,Dist/Location:Ponda
437;1;Goa State Museum;8;Panaji;Goa;Goa,State,Museum,Panaji,Goa;State:Goa,Dist/Location:Panaji
438;1;Goa Chitra Museum;8;Benaulim;Goa;Goa,Chitra,Museum,Benaulim,Goa;State:Goa,Dist/Location:Benaulim
439;1;Fort Aguada;8;Aguada;Goa;Fort,Aguada,Aguada,Goa;State:Goa,Dist/Location:Aguada
440;1;Church of St Cajetan;8;Velha;Goa;Church,of,St,Cajetan,Velha,Goa;State:Goa,Dist/Location:Velha
441;1;Arvalem Waterfalls;8;Sanquelim;Goa;Arvalem,Waterfalls,Sanquelim,Goa;State:Goa,Dist/Location:Sanquelim
442;1;Sada Waterfalls;8;Curti;Goa;Sada,Waterfalls,Curti,Goa;State:Goa,Dist/Location:Curti
443;1;Netravali Waterfalls;8;Kundal;Goa;Netravali,Waterfalls,Kundal,Goa;State:Goa,Dist/Location:Kundal
444;1;Kuskem Waterfalls;8;Khotigao;Goa;Kuskem,Waterfalls,Khotigao,Goa;State:Goa,Dist/Location:Khotigao
445;1;Tambdi Surla Waterfalls;8;Surla;Goa;Tambdi,Surla,Waterfalls,Surla,Goa;State:Goa,Dist/Location:Surla
446;1;Kesarval Waterfalls;8;Cortalim;Goa;Kesarval,Waterfalls,Cortalim,Goa;State:Goa,Dist/Location:Cortalim
447;1;Hivre Waterfalls;8;Valpoi;Goa;Hivre,Waterfalls,Valpoi,Goa;State:Goa,Dist/Location:Valpoi
448;1;Arvalem Cave;8;Sanquelim;Goa;Arvalem,Cave,Sanquelim,Goa;State:Goa,Dist/Location:Sanquelim
449;1;Lamgau Caves;8;Lamgau;Goa;Lamgau,Caves,Lamgau,Goa;State:Goa,Dist/Location:Lamgau
450;1;Pandava Cave;8;Arvalem;Goa;Pandava,Cave,Arvalem,Goa;State:Goa,Dist/Location:Arvalem
451;1;Rivona Cave;8;Ponda;Goa;Rivona,Cave,Ponda,Goa;State:Goa,Dist/Location:Ponda
452;1;Dabos Cave;8;Valpoi;Goa;Dabos,Cave,Valpoi,Goa;State:Goa,Dist/Location:Valpoi
