ID;Active (0/1);Name *;Categories (x,y,z...);Reference #;EAN13;Tags,(x,y,z...);Feature(Name:Value:Position)
453;1;Mysore;8;Mysuru;Karnataka;Mysore,Mysuru,Karnataka;State:Karnataka,Dist/Location:Mysuru
454;1;Mangalore;8;Mangalore;Karnataka;Mangalore,Mangalore,Karnataka;State:Karnataka,Dist/Location:Mangalore
455;1;Hampi;8;Hampi;Karnataka;Hampi,Hampi,Karnataka;State:Karnataka,Dist/Location:Hampi
456;1;Madikeri;8;Kodagu;Karnataka;Madikeri,Kodagu,Karnataka;State:Karnataka,Dist/Location:Kodagu
457;1;Shimoga;8;Shimoga;Karnataka;Shimoga,Shimoga,Karnataka;State:Karnataka,Dist/Location:Shimoga
458;1;Udupi;8;Udupi;Karnataka;Udupi,Udupi,Karnataka;State:Karnataka,Dist/Location:Udupi
459;1;Karwar;8;Uttara Kannada;Karnataka;Karwar,Uttara,Kannada,Karnataka;State:Karnataka,Dist/Location:Uttara Kannada
460;1;Gokarna;8;Uttara Kannada;Karnataka;Gokarna,Uttara,Kannada,Karnataka;State:Karnataka,Dist/Location:Uttara Kannada
461;1;Hubli;8;Hubballi;Karnataka;Hubli,Hubballi,Karnataka;State:Karnataka,Dist/Location:Hubballi
462;1;Belgaum;8;Belgaum;Karnataka;Belgaum,Belgaum,Karnataka;State:Karnataka,Dist/Location:Belgaum
463;1;Dandeli;8;Uttara Kannada;Karnataka;Dandeli,Uttara,Kannada,Karnataka;State:Karnataka,Dist/Location:Uttara Kannada
464;1;Chikmagalur;8;Chikkamagaluru;Karnataka;Chikmagalur,Chikkamagaluru,Karnataka;State:Karnataka,Dist/Location:Chikkamagaluru
465;1;Bijapur;8;Bijapur;Karnataka;Bijapur,Bijapur,Karnataka;State:Karnataka,Dist/Location:Bijapur
466;1;Gulbarga;8;Kalaburagi;Karnataka;Gulbarga,Kalaburagi,Karnataka;State:Karnataka,Dist/Location:Kalaburagi
467;1;Sakleshpur;8;Hassan;Karnataka;Sakleshpur,Hassan,Karnataka;State:Karnataka,Dist/Location:Hassan
468;1;Bidar;8;Bidar;Karnataka;Bidar,Bidar,Karnataka;State:Karnataka,Dist/Location:Bidar
469;1;Hassan;8;Hassan;Karnataka;Hassan,Hassan,Karnataka;State:Karnataka,Dist/Location:Hassan
470;1;Hospet;8;Bellary;Karnataka;Hospet,Bellary,Karnataka;State:Karnataka,Dist/Location:Bellary
471;1;Badami;8;Bagalkot;Karnataka;Badami,Bagalkot,Karnataka;State:Karnataka,Dist/Location:Bagalkot
472;1;Bellary;8;Ballari;Karnataka;Bellary,Ballari,Karnataka;State:Karnataka,Dist/Location:Ballari
473;1;Srirangapatna;8;Mandya;Karnataka;Srirangapatna,Mandya,Karnataka;State:Karnataka,Dist/Location:Mandya
474;1;Nandi Hills;8;Chikkaballapura;Karnataka;Nandi,Hills,Chikkaballapura,Karnataka;State:Karnataka,Dist/Location:Chikkaballapura
475;1;Subramanya;8;Dakshina Kannada;Karnataka;Subramanya,Dakshina,Kannada,Karnataka;State:Karnataka,Dist/Location:Dakshina Kannada
476;1;Bandipur National Park;8;Mysore;Karnataka;Bandipur,National,Park,Mysore,Karnataka;State:Karnataka,Dist/Location:Mysore
