ID;Active (0/1);Name *;Categories (x,y,z...);Reference #;EAN13;Tags,(x,y,z...);Feature(Name:Value:Position)
781;1;Bandhavgarh National Park;8;Umaria ;Madhya Pradesh;Bandhavgarh,National,Park,Umaria,Madhya,Pradesh;State:Madhya Pradesh,Dist/Location:Umaria 
782;1;Omkareshwar;8;Khandwa;Madhya Pradesh;Omkareshwar,Khandwa,Madhya,Pradesh;State:Madhya Pradesh,Dist/Location:Khandwa
783;1;Kanha Tiger Reserve;8;Mandla and Balaghat;Madhya Pradesh;Kanha,Tiger,Reserve,Mandla,and,Balaghat,Madhya,Pradesh;State:Madhya Pradesh,Dist/Location:Mandla and Balaghat
784;1;Bhimbetka rock shelters;8;Bhojpur Raisen;Madhya Pradesh;Bhimbetka,rock,shelters,Bhojpur,Raisen,Madhya,Pradesh;State:Madhya Pradesh,Dist/Location:Bhojpur Raisen
785;1;Mahakaleshwar Jyotirlinga;8;Ujjain;Madhya Pradesh;Mahakaleshwar,Jyotirlinga,Ujjain,Madhya,Pradesh;State:Madhya Pradesh,Dist/Location:Ujjain
786;1;Gwalior Fort;8;Gwalior;Madhya Pradesh;Gwalior,Fort,Gwalior,Madhya,Pradesh;State:Madhya Pradesh,Dist/Location:Gwalior
787;1;Van Vihar National Park;8;Bhopal;Madhya Pradesh;Van,Vihar,National,Park,Bhopal,Madhya,Pradesh;State:Madhya Pradesh,Dist/Location:Bhopal
788;1;Taj-ul-Masajid;8;Bhopal;Madhya Pradesh;Taj-ul-Masajid,Bhopal,Madhya,Pradesh;State:Madhya Pradesh,Dist/Location:Bhopal
789;1;Kandariya Mahadeva Temple;8;Khajuraho;Madhya Pradesh;Kandariya,Mahadeva,Temple,Khajuraho,Madhya,Pradesh;State:Madhya Pradesh,Dist/Location:Khajuraho
790;1;Lakshmana Temple;8;Khajuraho;Madhya Pradesh;Lakshmana,Temple,Khajuraho,Madhya,Pradesh;State:Madhya Pradesh,Dist/Location:Khajuraho
791;1;Lower Lake;8;Bhopal;Madhya Pradesh;Lower,Lake,Bhopal,Madhya,Pradesh;State:Madhya Pradesh,Dist/Location:Bhopal
792;1;Maharaja Chhatrasal Museum;8;Mausahaniya;Madhya Pradesh;Maharaja,Chhatrasal,Museum,Mausahaniya,Madhya,Pradesh;State:Madhya Pradesh,Dist/Location:Mausahaniya
793;1;Bharat Bhavan;8;Bhopal;Madhya Pradesh;Bharat,Bhavan,Bhopal,Madhya,Pradesh;State:Madhya Pradesh,Dist/Location:Bhopal
794;1;Dhupgarh;8;Pachmarhi;Madhya Pradesh;Dhupgarh,Pachmarhi,Madhya,Pradesh;State:Madhya Pradesh,Dist/Location:Pachmarhi
795;1;Devi Jagadambi Temple;8;Khajuraho;Madhya Pradesh;Devi,Jagadambi,Temple,Khajuraho,Madhya,Pradesh;State:Madhya Pradesh,Dist/Location:Khajuraho
796;1;Chaturbhuj Temple;8;Khajuraho;Madhya Pradesh;Chaturbhuj,Temple,Khajuraho,Madhya,Pradesh;State:Madhya Pradesh,Dist/Location:Khajuraho
797;1;Javari Temple;8;Khajuraho;Madhya Pradesh;Javari,Temple,Khajuraho,Madhya,Pradesh;State:Madhya Pradesh,Dist/Location:Khajuraho
798;1;Duladeo Temple;8;Khajuraho;Madhya Pradesh;Duladeo,Temple,Khajuraho,Madhya,Pradesh;State:Madhya Pradesh,Dist/Location:Khajuraho
799;1;Vamana Temple;8;Khajuraho;Madhya Pradesh;Vamana,Temple,Khajuraho,Madhya,Pradesh;State:Madhya Pradesh,Dist/Location:Khajuraho
800;1;Varaha Temple;8;Khajuraho;Madhya Pradesh;Varaha,Temple,Khajuraho,Madhya,Pradesh;State:Madhya Pradesh,Dist/Location:Khajuraho
801;1;Birla Mandir;8;Bhopal;Madhya Pradesh;Birla,Mandir,Bhopal,Madhya,Pradesh;State:Madhya Pradesh,Dist/Location:Bhopal
802;1;Parvati Temple;8;Khajuraho;Madhya Pradesh;Parvati,Temple,Khajuraho,Madhya,Pradesh;State:Madhya Pradesh,Dist/Location:Khajuraho
803;1;Maharaj Bada;8;Gwalior;Madhya Pradesh;Maharaj,Bada,Gwalior,Madhya,Pradesh;State:Madhya Pradesh,Dist/Location:Gwalior
804;1;Pench National Park;8;Seoni;Madhya Pradesh;Pench,National,Park,Seoni,Madhya,Pradesh;State:Madhya Pradesh,Dist/Location:Seoni
805;1;Holkar Stadium;8;Indore;Madhya Pradesh;Holkar,Stadium,Indore,Madhya,Pradesh;State:Madhya Pradesh,Dist/Location:Indore
806;1;Gir Forest National Park;8;Veraval;Gujurat;Gir,Forest,National,Park,Veraval,Gujurat;State:Gujurat,Dist/Location:Veraval
807;1;Somnath;8;Veraval ;Gujurat;Somnath,Veraval,Gujurat;State:Gujurat,Dist/Location:Veraval 
808;1;Sabarmati Ashram;8;Ahmedabad;Gujurat;Sabarmati,Ashram,Ahmedabad,Gujurat;State:Gujurat,Dist/Location:Ahmedabad
809;1;Dwarkadhish Temple ;8;Dwarka;Gujurat;Dwarkadhish,Temple,Dwarka,Gujurat;State:Gujurat,Dist/Location:Dwarka
810;1;Akshardham ;8;Gandhinagar;Gujurat;Akshardham,Gandhinagar,Gujurat;State:Gujurat,Dist/Location:Gandhinagar
811;1;Rani ki vav ;8;Patan;Gujurat;Rani,ki,vav,Patan,Gujurat;State:Gujurat,Dist/Location:Patan
812;1;Sayaji Baug;8;Vadodara;Gujurat;Sayaji,Baug,Vadodara,Gujurat;State:Gujurat,Dist/Location:Vadodara
813;1;Sidi Saiyyed Mosque;8;Ahmedabad;Gujurat;Sidi,Saiyyed,Mosque,Ahmedabad,Gujurat;State:Gujurat,Dist/Location:Ahmedabad
814;1;Kankaria;8;Ahmedabad ;Gujurat;Kankaria,Ahmedabad,Gujurat;State:Gujurat,Dist/Location:Ahmedabad 
815;1;EME Temple;8;Vadodara;Gujurat;EME,Temple,Vadodara,Gujurat;State:Gujurat,Dist/Location:Vadodara
816;1;Girnar;8;Junagadh ;Gujurat;Girnar,Junagadh,Gujurat;State:Gujurat,Dist/Location:Junagadh 
817;1;Sidi Bashir Mosque;8;Ahmedabad;Gujurat;Sidi,Bashir,Mosque,Ahmedabad,Gujurat;State:Gujurat,Dist/Location:Ahmedabad
818;1;Teen Darwaza;8;Ahmedabad;Gujurat;Teen,Darwaza,Ahmedabad,Gujurat;State:Gujurat,Dist/Location:Ahmedabad
819;1;Jama Mosque;8;Ahmedabad;Gujurat;Jama,Mosque,Ahmedabad,Gujurat;State:Gujurat,Dist/Location:Ahmedabad
820;1;Calico Museum of Textiles;8;Ahmedabad;Gujurat;Calico,Museum,of,Textiles,Ahmedabad,Gujurat;State:Gujurat,Dist/Location:Ahmedabad
821;1;Pavagadh Hill;8;Panchmahal ;Gujurat;Pavagadh,Hill,Panchmahal,Gujurat;State:Gujurat,Dist/Location:Panchmahal 
822;1;Palitana temples;8;Bhavnagar ;Gujurat;Palitana,temples,Bhavnagar,Gujurat;State:Gujurat,Dist/Location:Bhavnagar 
823;1;Vastrapur Lake;8;Ahmedabad;Gujurat;Vastrapur,Lake,Ahmedabad,Gujurat;State:Gujurat,Dist/Location:Ahmedabad
824;1;Watson Museum;8;Rajkot;Gujurat;Watson,Museum,Rajkot,Gujurat;State:Gujurat,Dist/Location:Rajkot
825;1;Nagina Wadi;8;Ahmedabad;Gujurat;Nagina,Wadi,Ahmedabad,Gujurat;State:Gujurat,Dist/Location:Ahmedabad
826;1;Baroda Museum & Picture Gallery;8;Vadodara;Gujurat;Baroda,Museum,&,Picture,Gallery,Vadodara,Gujurat;State:Gujurat,Dist/Location:Vadodara
827;1;Sardar Vallabhbhai Patel National Memorial;8;Ahmedabad;Gujurat;Sardar,Vallabhbhai,Patel,National,Memorial,Ahmedabad,Gujurat;State:Gujurat,Dist/Location:Ahmedabad
828;1;Shri Swaminarayan Mandir;8;Bhuj;Gujurat;Shri,Swaminarayan,Mandir,Bhuj,Gujurat;State:Gujurat,Dist/Location:Bhuj
829;1;Prag Mahal;8;Bhuj;Gujurat;Prag,Mahal,Bhuj,Gujurat;State:Gujurat,Dist/Location:Bhuj
830;1;Dumas Beach;8;Surat;Gujurat;Dumas,Beach,Surat,Gujurat;State:Gujurat,Dist/Location:Surat
831;1;Sakkarbaug Zoological Garden;8;Junagadh;Gujurat;Sakkarbaug,Zoological,Garden,Junagadh,Gujurat;State:Gujurat,Dist/Location:Junagadh
832;1;Aravalli Range;8;;Gujurat;Aravalli,Range,Gujurat;State:Gujurat,Dist/Location:
833;1;Lalbhai Dalpatbhai Museum;8;Ahmedabad;Gujurat;Lalbhai,Dalpatbhai,Museum,Ahmedabad,Gujurat;State:Gujurat,Dist/Location:Ahmedabad
834;1;Rani no Hajiro;8;Ahmedabad;Gujurat;Rani,no,Hajiro,Ahmedabad,Gujurat;State:Gujurat,Dist/Location:Ahmedabad
835;1;Hanuman temple;8; Salangpur;Gujurat;Hanuman,temple,Salangpur,Gujurat;State:Gujurat,Dist/Location: Salangpur
836;1;Sarkhej;8;Ahmedabad;Gujurat;Sarkhej,Ahmedabad,Gujurat;State:Gujurat,Dist/Location:Ahmedabad
837;1;Jagdishchandra Bose Aquarium;8;Surat;Gujurat;Jagdishchandra,Bose,Aquarium,Surat,Gujurat;State:Gujurat,Dist/Location:Surat
838;1;Sanskar Kendra;8;Ahmedabad;Gujurat;Sanskar,Kendra,Ahmedabad,Gujurat;State:Gujurat,Dist/Location:Ahmedabad
839;1;Nehru Bridge;8;Ahmedabad;Gujurat;Nehru,Bridge,Ahmedabad,Gujurat;State:Gujurat,Dist/Location:Ahmedabad
840;1;Ukai Dam;8;Surat district and Tapi district;Gujurat;Ukai,Dam,Surat,district,and,Tapi,district,Gujurat;State:Gujurat,Dist/Location:Surat district and Tapi district
841;1;Ellis Bridge;8;Ahmedabad;Gujurat;Ellis,Bridge,Ahmedabad,Gujurat;State:Gujurat,Dist/Location:Ahmedabad
842;1;Science Centre;8;Surat;Gujurat;Science,Centre,Surat,Gujurat;State:Gujurat,Dist/Location:Surat
843;1;Indian Wild Ass Sanctuary;8;Dhrangadhra;Gujurat;Indian,Wild,Ass,Sanctuary,Dhrangadhra,Gujurat;State:Gujurat,Dist/Location:Dhrangadhra
844;1;Saurashtra Cricket Association Stadium;8;Rajkot;Gujurat;Saurashtra,Cricket,Association,Stadium,Rajkot,Gujurat;State:Gujurat,Dist/Location:Rajkot
845;1;Radhanagar Beach;8;Havelock Island;Andaman Island;Radhanagar,Beach,Havelock,Island,Andaman,Island;State:Andaman Island,Dist/Location:Havelock Island
846;1;Jolly Buoy Island ;8;Port Blair;Andaman Island;Jolly,Buoy,Island,Port,Blair,Andaman,Island;State:Andaman Island,Dist/Location:Port Blair
847;1;Cellular Jail;8;Port Blair;Andaman Island;Cellular,Jail,Port,Blair,Andaman,Island;State:Andaman Island,Dist/Location:Port Blair
848;1;Ross Island;8;Port Blair;Andaman Island;Ross,Island,Port,Blair,Andaman,Island;State:Andaman Island,Dist/Location:Port Blair
849;1;Neil Island;8;Port Blair;Andaman Island;Neil,Island,Port,Blair,Andaman,Island;State:Andaman Island,Dist/Location:Port Blair
850;1;Elephant Beach;8;Havelock Island;Andaman Island;Elephant,Beach,Havelock,Island,Andaman,Island;State:Andaman Island,Dist/Location:Havelock Island
851;1;Kaala Pathar Beach;8;Havelock Island;Andaman Island;Kaala,Pathar,Beach,Havelock,Island,Andaman,Island;State:Andaman Island,Dist/Location:Havelock Island
852;1;Makruzz;8;Port Blair;Andaman Island;Makruzz,Port,Blair,Andaman,Island;State:Andaman Island,Dist/Location:Port Blair
853;1;Chidiya Tapu;8;Port Blair;Andaman Island;Chidiya,Tapu,Port,Blair,Andaman,Island;State:Andaman Island,Dist/Location:Port Blair
854;1;North Bay Island Andaman;8;Port Blair;Andaman Island;North,Bay,Island,Andaman,Port,Blair,Andaman,Island;State:Andaman Island,Dist/Location:Port Blair
855;1;Samudrika Marine Museum;8;Port Blair;Andaman Island;Samudrika,Marine,Museum,Port,Blair,Andaman,Island;State:Andaman Island,Dist/Location:Port Blair
856;1;Wandoor Beach;8;Port Blair;Andaman Island;Wandoor,Beach,Port,Blair,Andaman,Island;State:Andaman Island,Dist/Location:Port Blair
857;1;Laxmanpur Beach;8;Port Blair;Andaman Island;Laxmanpur,Beach,Port,Blair,Andaman,Island;State:Andaman Island,Dist/Location:Port Blair
858;1;Corbyn's Cove;8;Port Blair;Andaman Island;Corbyn's,Cove,Port,Blair,Andaman,Island;State:Andaman Island,Dist/Location:Port Blair
859;1;Bharatpur Beach;8;Neil Island;Andaman Island;Bharatpur,Beach,Neil,Island,Andaman,Island;State:Andaman Island,Dist/Location:Neil Island
860;1;Anthropological Museum;8;Port Blair;Andaman Island;Anthropological,Museum,Port,Blair,Andaman,Island;State:Andaman Island,Dist/Location:Port Blair
861;1;Scuba & Snorkeling;8;Havelock Island;Andaman Island;Scuba,&,Snorkeling,Havelock,Island,Andaman,Island;State:Andaman Island,Dist/Location:Havelock Island
862;1;Chatham Saw Mill ;8;Port Blair;Andaman Island;Chatham,Saw,Mill,Port,Blair,Andaman,Island;State:Andaman Island,Dist/Location:Port Blair
863;1;Limestone Caves;8;Baratang Island;Andaman Island;Limestone,Caves,Baratang,Island,Andaman,Island;State:Andaman Island,Dist/Location:Baratang Island
864;1;Howrah Bridge;8;Neil Island;Andaman Island;Howrah,Bridge,Neil,Island,Andaman,Island;State:Andaman Island,Dist/Location:Neil Island
865;1;Sitapur Beach;8;Neil Island;Andaman Island;Sitapur,Beach,Neil,Island,Andaman,Island;State:Andaman Island,Dist/Location:Neil Island
866;1;Marina Park and Aquarium;8;Port Blair;Andaman Island;Marina,Park,and,Aquarium,Port,Blair,Andaman,Island;State:Andaman Island,Dist/Location:Port Blair
867;1;Jogger's Park;8;Port Blair;Andaman Island;Jogger's,Park,Port,Blair,Andaman,Island;State:Andaman Island,Dist/Location:Port Blair
868;1;Red Skin Island;8;Port Blair;Andaman Island;Red,Skin,Island,Port,Blair,Andaman,Island;State:Andaman Island,Dist/Location:Port Blair
869;1;Neil Island Jetty;8;Port Blair;Andaman Island;Neil,Island,Jetty,Port,Blair,Andaman,Island;State:Andaman Island,Dist/Location:Port Blair
870;1;Phoenix Bay Jetty;8;Port Blair;Andaman Island;Phoenix,Bay,Jetty,Port,Blair,Andaman,Island;State:Andaman Island,Dist/Location:Port Blair
871;1;Waterskiing & Jetskiing;8;Port Blair;Andaman Island;Waterskiing,&,Jetskiing,Port,Blair,Andaman,Island;State:Andaman Island,Dist/Location:Port Blair
872;1;Parasailing & Paragliding;8;Port Blair;Andaman Island;Parasailing,&,Paragliding,Port,Blair,Andaman,Island;State:Andaman Island,Dist/Location:Port Blair
873;1;Gandhi Park;8;Port Blair;Andaman Island;Gandhi,Park,Port,Blair,Andaman,Island;State:Andaman Island,Dist/Location:Port Blair
874;1;Inglis Island ;8;Havelock Island;Andaman Island;Inglis,Island,Havelock,Island,Andaman,Island;State:Andaman Island,Dist/Location:Havelock Island
875;1;Ferar Beach;8;Port Blair;Andaman Island;Ferar,Beach,Port,Blair,Andaman,Island;State:Andaman Island,Dist/Location:Port Blair
876;1;Murugan Temple;8;Port Blair;Andaman Island;Murugan,Temple,Port,Blair,Andaman,Island;State:Andaman Island,Dist/Location:Port Blair
877;1;Fishery Museum;8;Port Blair;Andaman Island;Fishery,Museum,Port,Blair,Andaman,Island;State:Andaman Island,Dist/Location:Port Blair
878;1;Viper Island;8;Port Blair;Andaman Island;Viper,Island,Port,Blair,Andaman,Island;State:Andaman Island,Dist/Location:Port Blair
879;1;Mount Harriet National Park;8;Port Blair;Andaman Island;Mount,Harriet,National,Park,Port,Blair,Andaman,Island;State:Andaman Island,Dist/Location:Port Blair
880;1;Science Centre;8;Port Blair;Andaman Island;Science,Centre,Port,Blair,Andaman,Island;State:Andaman Island,Dist/Location:Port Blair
881;1;Kayaking & Canoeing;8;;Andaman Island;Kayaking,&,Canoeing,Andaman,Island;State:Andaman Island,Dist/Location:
882;1;Little Andaman Island;8;North Andaman Island;Andaman Island;Little,Andaman,Island,North,Andaman,Island,Andaman,Island;State:Andaman Island,Dist/Location:North Andaman Island
883;1;Zsi Museum ;8;Port Blair;Andaman Island;Zsi,Museum,Port,Blair,Andaman,Island;State:Andaman Island,Dist/Location:Port Blair
884;1;Diglipur Beach;8;Diglipur;Andaman Island;Diglipur,Beach,Diglipur,Andaman,Island;State:Andaman Island,Dist/Location:Diglipur
