ID;Categories (x,y,z...)
1;56
8;49
9;49,13
10;49,27
11;49,13
12;49,18
13;49,13
14;49
15;49,23
16;49,23
17;49,23
18;49,13
19;49,21
20;49
21;49
22;49
23;49
24;49
25;49
26;49
27;49,13
28;49,13
29;49
30;49
31;49
32;49
33;49,47
34;49
35;49
36;49
37;49,47
38;49,47
39;49,13
40;49
41;49
42;49
43;49,47
44;49,47
45;49,47
46;49,47
47;49,47
48;49,47
49;49,47
50;49,47
51;49,47
52;49,47
53;49,13
54;49,13
55;49,47
56;49,47
57;49
58;49,21
59;49,21
60;49,21
61;49,21
62;49,21
63;49,21
64;49,21
65;49,21
66;49,21
67;49,21
68;49,21
69;49,21
70;49,21
71;49,21
72;49,21
73;49,21
74;49,18
75;41
76;41,13
77;41,13
78;41
79;41,13
80;41
81;41,13
82;41,15
83;41
84;41
85;41,21
86;41,23
87;41
88;41,18,23
89;41
90;41,25
91;41
92;41,25
93;41,26
94;41,19
95;41
96;41
97;41,21
98;41,23
99;41
100;41
101;41
102;41,13
103;41
104;41
105;41,25
106;41
107;41
108;41
109;41
110;41
111;41,23
112;41,13
113;41,27
114;41
115;41,25
116;41
117;41
118;41
119;41
120;41
121;41,23
122;41
123;41
124;41
125;41
126;41,13
127;41
128;41
129;41
130;55
131;55,13
132;55,26
133;55
134;55,21
135;55,19
136;55
137;55
138;55
139;55
140;55
141;55
142;55
143;55
144;55,21
145;55,13
146;55,25
147;55,25
148;55,14
149;55,26
150;55
151;55
152;55
153;55
154;55
155;55
156;55
157;55
158;55
159;55
160;55
161;55
162;55
163;55,16
164;55,14
165;55,26
166;55
167;55,15
168;55
169;55,13
170;55,13
171;55
172;55,18
173;55,18
174;55,18
175;55,18
176;35,25
177;35
178;35
179;35,13
180;35
181;35
182;35
183;35
184;35,14
185;35
186;35
187;35
188;35
189;35
190;35,26
191;35,13
192;35,13
193;35
194;35
195;35
196;35
197;35,26
198;35
199;35
200;35
201;35
202;35,14
203;35
204;35
205;35,15
206;35
207;35
208;35
209;35
210;35,13
211;35,13
212;35
213;35,29
214;35,26
215;35
216;35,14
217;35,26
218;35,14
219;35
220;35
221;32,13
222;32
223;32
224;32,23
225;32
226;32,13
227;32,13
228;32
229;32
230;32
231;32
232;32
233;32,26
234;32,26
235;32,14
236;32
237;32
238;32,13
239;32
240;32,25
241;32,25
242;32
243;32
244;32,13
245;32,26
246;32,13
247;32,18
248;32
249;32
250;32
251;32,21
252;32
253;32
254;32,18
255;32,26
256;32
257;32
258;32
259;32,21
260;32,19
261;32,27
262;32,21
263;32,24
264;32,26
265;32,13
266;32
267;32,13
268;32
269;32,18
270;32
271;32,18
272;32,18
273;32,18
274;33
275;33,21
276;33
277;33
278;33
279;33
280;33
281;33
282;33,21
283;52,25
284;52,25
285;52
286;52,25
287;52,25
288;52
289;52,25
290;52,27
291;52,25
292;52
293;52
294;52,25
295;52,25
296;52
297;52,25,27
298;52,13
299;52,21
300;52,13
301;52,25
302;52
303;52,13
304;52,27
305;52,25
306;52
307;52
308;52,26
309;52
310;52,25
311;52,27
312;52,25
313;52,27
314;52,27
315;52
316;52,13
317;52,25
318;52,25
319;52
320;52
321;52
322;52,25
323;52,27
324;52
325;52
326;52,27
327;52,27
328;52,25
329;52,21
330;52
331;40
332;40,13
333;40,13
334;40,13
335;40,13
336;40,18
337;40,18
338;40
339;40,25
340;40
341;40,13
342;40
343;40,15
344;40
345;40,21
346;40,19,25
347;40,26
348;40
349;40
350;40,18
351;40
352;40
353;40,13
354;40,25
355;40
356;40,18
357;40,25
358;40
359;40,14
360;40
361;40,26
362;40,23
363;40,26
364;40
365;40,25
366;40,13
367;40,15
368;40,13
369;40,25
370;40,13
371;40,13
372;40
373;40
374;40,13
375;40
376;40
377;40,21
378;40,25
379;34,13
380;34
381;34
382;34
383;34
384;34,26
385;34
386;34
387;34
388;34
389;34
390;34,29
391;34
392;34
393;34,47
394;34
395;34
396;34,27
397;34
398;34
399;34,25
400;34,25
401;34
402;34,13
403;34,47
404;51
405;51
406;51,13
407;51
408;51,26
409;51
410;51
411;51
412;51,13
413;51,13
414;51
415;51,27
416;51
417;51
418;51
419;51
420;51,13
421;51
422;51
423;51,13
424;51
425;51,13
426;36
427;36,47
428;36
429;36,15
430;36,13
431;36
432;36,18
433;36
434;36
435;36
436;36
437;36,26
438;36,26
439;36,25
440;36,15
441;36,47
442;36,47
443;36,47
444;36,47
445;36,47
446;36,47
447;36,47
448;36,23
449;36,23
450;36,23
451;36,23
452;36,23
453;43
454;43
455;43
456;43
457;43
458;43
459;43
460;43
461;43
462;43
463;43
464;43
465;43
466;43
467;43
468;43
469;43
470;43
471;43
472;43
473;43
474;43,19
475;43
476;43,21
477;43,21
478;43
479;43
480;43
481;43
482;43
483;43
484;43
485;43
486;43
487;43
488;43
489;43
490;43
491;43
492;43
493;43
494;43
495;43
496;43
497;43
498;43
499;43
500;43
501;43
502;43
503;43,26
504;43
505;43
506;43,29
507;43,13
508;43,25
509;43
510;43
511;43
512;43,47
513;43
514;43,47
515;43,21
516;43,13
517;43
518;43
519;43
520;43
521;43,47
522;43,47
523;43,47
524;43,47
525;43,47
526;43,47
527;43
528;43,47
529;43,47
530;43,47
531;43,47
532;43,47
533;43,47
534;43,47
535;43,47
536;43,47
537;43,47
538;43,47
539;43,47
540;43,47
541;43,47
542;43,47
543;56
544;56
545;56,25
546;56,13
547;56
548;56
549;56
550;56
551;56
552;56
553;56,13
554;56
555;56
556;56
557;56,14
558;56
559;56
560;56,25
561;56,25
562;56
563;56
564;56
565;56,26
566;56
567;56
568;56
569;56,25
570;56
571;56
572;56,19
573;56,29
574;56,14
575;56
576;56,14
577;56,26
578;56
579;56,14
580;56,14
581;56
582;56
583;56,47
584;56,47
585;56,47
586;56,47
587;56,47
588;56,47
589;56,47
590;56
591;57,24,28
592;57,24
593;57,24
594;57,24
595;57,24
596;57,21
597;57,24
598;57,24
599;57,24
600;57,24
601;57,21,24
602;57,24
603;57,24
604;57
605;57,24
606;57,24
607;57,24
608;57,24
609;57,24
610;57,24
611;57,24
612;57,24
613;57
614;57,24
615;57,24
616;57,21,24
617;57,24
618;57,21,24
619;57,24
620;57
621;57,24
622;57,24
623;57,24
624;57,24,27,13
625;57,24
626;57
627;57,24
628;57,24
629;57,24
630;57,24
631;57,24
632;57,24
633;57,24
634;57,24
635;57,47,24
636;57,47,24
637;57,47,24
638;57,47,24
639;57,47,24
640;57,47,24
641;57,47,24
642;46
643;46,21
644;46
645;46
646;46
647;46,21
648;46
649;46
650;46
651;46
652;46,21
653;46,21
654;46
655;46
656;46
657;46
658;46
659;46,47
660;46
661;46
662;54,13
663;54,13
664;54
665;54,13
666;54
667;54
668;54,13
669;54,13
670;54,13
671;54
672;54,13
673;54,18
674;54,18
675;54,27
676;54,19
677;54,19
678;54,27
679;54,25
680;54
681;54,21
682;54
683;54
684;54,25
685;54,13
686;54,19
687;54
688;54
689;54
690;54,26
691;54,27
692;54,47
693;54
694;54,47
695;54,13
696;54,47
697;54,13
698;54
699;54
700;54
701;54
702;54,26
703;54,25
704;54
705;54
706;54
707;54,21
708;54,13
709;54
710;54,47
711;54,47
712;54
713;54,47
714;54,47
715;54,47
716;54,47
717;54,47
718;54,47
719;54,47
720;54,47
721;54,47
722;54
723;54,47
724;54,47
725;54,47
726;54,47
727;54,47
728;54,47
729;54,47
730;54,47
731;54,47
732;54,18
733;54,18
734;54
735;54,18
736;54,18
737;54,18
738;54
739;54,18
740;54,18
741;54,18
742;48
743;48,21
744;48,21
745;48
746;48,21
747;48,47
748;48
749;48
750;48
751;48
752;48
753;48,21
754;48
755;48
756;48,21
757;48,21
758;48,21
759;48,27
760;48
761;48
762;48,19
763;48,21
764;48
765;48,21
766;48
767;48
768;48
769;48
770;48
771;48
772;48,19
773;48
774;48,27
775;48
776;48
777;48,26
778;48
779;48
780;48,21
781;42,21
782;42
783;42
784;42
785;42
786;42,25
787;42,21
788;42
789;42,13
790;42,13
791;42,27
792;42,26
793;42
794;42
795;42,13
796;42,13
797;42,13
798;42,13
799;42,13
800;42,13
801;42
802;42,13
803;42
804;42,21
805;42
806;44,21
807;44
808;44
809;44,13
810;44
811;44
812;44
813;44,14
814;44
815;44,13
816;44
817;44,14
818;44
819;44,14
820;44,26
821;44,19
822;44,13
823;44,27
824;44,26
825;44
826;44,26
827;44
828;44
829;44
830;44,18
831;44
832;44
833;44,26
834;44
835;44,13
836;44
837;44
838;44
839;44
840;44
841;44
842;44
843;44,21
844;44
845;31,18
846;31,18
847;31
848;31,18
849;31,18
850;31,18
851;31,18
852;31
853;31
854;31,18
855;31,26
856;31,18
857;31,18
858;31
859;31,18
860;31,26
861;31
862;31
863;31,23
864;31
865;31,18
866;31
867;31
868;31,18
869;31,18
870;31
871;31
872;31
873;31
874;31,18
875;31,18
876;31,13
877;31,26
878;31,18
879;31,21
880;31
881;31
882;31,18
883;31,26
884;31,18
885;31
886;31
887;31,18
888;31,18
889;31,26
890;31,18
891;31
892;31,18
893;31,18
894;31,21
895;37
896;37
897;37
898;37,13
899;37
900;37
901;37,21
902;37
903;37
904;37,18
905;37
906;37,26
907;37
908;37
909;37
910;37
911;37,26
912;37,26
913;37
914;37,27
915;37,27
916;37
917;37
918;37,26
919;37
920;37
921;37,13
922;37,13
923;37
924;37
925;37
926;37
927;37,13
928;37,13
929;37,27
930;37,13
931;37
932;37,25
933;37,27
934;37,27
935;37
936;37
937;37
938;37,15
939;37,14
940;37,27
941;37
942;37,15
943;37
944;37
945;37
946;37
947;37,26
948;37,14
949;37,13
950;37
951;37,13
952;37
953;37
954;37
955;37
956;37
957;37,19
958;37,26
959;37
960;37
961;37,21
962;37
963;37,13
964;37
965;37
966;37,25
967;37,13
968;37,21
969;37
970;37,13
971;37
972;37
973;37
974;37
975;37
976;37
977;37
978;37,25
979;37
980;37
981;37
982;37
983;37
984;37,15
985;37,21
986;39
987;39,27
988;39
989;39,13
990;39
991;39,27
992;39,21
993;39
994;39,27
995;39
996;39
997;39
998;39,47
999;39,47
1000;39
1001;39
1002;39
1003;39
1004;39,13
1005;39
1006;39
1007;39,13
1008;39
1009;39,27
1010;39,13
1011;39,47
1012;39
1013;45,24
1014;45,24
1015;45,24,16
1016;45,24
1017;45,24,27
1018;45,24,16
1019;45,24,16
1020;45,19,24
1021;45,24,16
1022;45,24
1023;45,24,16
1024;45,24,16
1025;45,24,25
1026;45,24,26
1027;45,24
1028;45,24,16
1029;45,24
1030;45,24,16
1031;45,24,16
1032;45,24,16
1033;45,24,16
1034;45,24,16
1035;45,24,14
1036;45,24
1037;45,24
1038;45,23,24
1039;45,24,16
1040;45,24
1041;45,24
1042;45,24,13
1043;45,24,16
1044;45,24
1045;45,24,25
1046;45,24
1047;45,24,13
1048;45,24
1049;45,24
1050;45,24,16
1051;45,19,24
1052;45,24,27
1053;45,24
1054;45,24,27
1055;45,24
1056;45,24
1057;45,24
1058;45,24
1059;45,24
1060;45,24
1061;45,24
1062;45,24,14
1063;45,24,13
1064;45,24
1065;45,24
1066;45,24
1067;45,24
1068;45,24
1069;45,24,27
1070;45,24
1071;45,24
1072;45,24
1073;45,21,24
1074;45,24
1075;45,24
1076;45,24
1077;45,24,13
1078;45,24
1079;45,24
1080;45,24
1081;45,24
1082;45,24
1083;45,24,26
1084;45,24,14
1085;45,24
1086;45,24
1087;45,24
1088;45,24
1089;45,24
1090;45,24
1091;45,24,13
1092;45,24,27
1093;45,24
1094;45,24,13
1095;45,24,13
1096;45,23,24,13
