Active (0/1);Active (0/1);Name *;Categories (x,y,z...);Reference #;EAN13;Tags,(x,y,z...);Feature(Name:Value:Position);Description
1482;1;Kollam Beach;40,18;Kollam;Kerela;Kollam,Beach,Kollam,Kerela;State:Kerela,Dist/Location:Kollam;Situated in Kollam city, Kollam beach is amongst the most famous beaches in Kerala. Also known as Mahatma Gandhi Beach, it offers a panoramic view of the Arabian Sea. The 144ft tall lighthouse is the landmark of this gorgeous beach that swells with pride during the evening hours. Watching the sunset and visiting the marine aquarium are the two major activities that one can indulge in on the beach. There are some great hotels and resorts in Kollam beach that adds happy memories to your perfect holiday here.
1483;1;Alappuzha Beach;40,18;Alappuzha ;Kerela;Alappuzha,Beach,Alappuzha,Kerela;State:Kerela,Dist/Location:Alappuzha ;A popular beach in Kerala, Alappuzha beach is also one of the most scenic beaches in the state. This palm-fringed beach has gained a lot of fame amongst the European tourists, who can be seen here in high numbers. Standing on one end of the beach, the lighthouse adds to the beauty of the place. The sunsets are absolutely stunning and are an absolute must see.
1484;1;Bekal Beach;40,18;Kasargod;Kerela;Bekal,Beach,Kasargod,Kerela;State:Kerela,Dist/Location:Kasargod;Bekal is a quieter and less crowded beach in Kasargod, Kerala. It is most famous for offering the best view of the Bekal Fort, which is the largest and most well-preserved fort in Kerala. The beach is situated near the border of Karnataka and about 60kms from Kannaur. At a short walk from the beach towards its northern side, there is an estuary, where one can witness the backwaters in Kerala joining the sea. Whether you are looking to spend quality time with your family or remain alone, Bekal beach can be the best bet.
1485;1;Beypore Beach;40,18;Kochi;Kerela;Beypore,Beach,Kochi,Kerela;State:Kerela,Dist/Location:Kochi;Well the beach is popular as the Beypore port, that served as an international trade center. The beach is situated in Kozhikode and is a perfect place for a hangout. A pristine beach, it is perfect for spending some cozy time with a loved one. Beypore is quite famous for its shipbuilding industry and since you are going to this gorgeous place make sure to buy a small ship souvenir from here.
1486;1;Chowara Beach;40,18;Chowara;Kerela;Chowara,Beach,Chowara,Kerela;State:Kerela,Dist/Location:Chowara;Set in the beautiful village of Chowara, this beach is known for its pristine beauty and quaint charm. The village is located at a distance of about 10kms from Kovalam and is a perfect honeymoon getaway in India. Since, it is away from the main city, you can expect some quiet time amidst the beauty of nature here.
1487;1;Kappad beach;40,18;Kozhikode;Kerela;Kappad,beach,Kozhikode,Kerela;State:Kerela,Dist/Location:Kozhikode;Here’s how one recognizes the beach better as… it is the same beach where Vasco Da Gama first landed in India. Kappakkadavu or Kappad beach is one beautiful beach set in the famed city of Calicut or Kozhikode. Today Kappad is amongst the favourite beaches for locals and tourists due to its immaculate and scenic beauty. An old temple situated on the rocks (believed to have been built several decades ago) is one of the major attractions on the beach.
1488;1;Kanwatheertha Beach;40,18;Kasargod;Kerela;Kanwatheertha,Beach,Kasargod,Kerela;State:Kerela,Dist/Location:Kasargod;It wouldn’t be incorrect if we say that Kanwatheertha beach is the pride of Kerala tourism. This scenic beach is situated in Kasargod district and only a short distance of 5kms from Manjeshwar. Kanwatheertha is popular amongst tourists as it is an isolatedbeach and is reckoned as a Virgin Territory, where one can experience the authentic hospitality of Kerala.
1489;1;Chavakkad Beach;40,18;Thrissur;Kerela;Chavakkad,Beach,Thrissur,Kerela;State:Kerela,Dist/Location:Thrissur;The swaying coconut trees, the glittery sand and miles and miles of tranquility, Chavakkad Beach in Thrissur district is nothing less than a paradise for nature lovers. The beach is at a short distance of 5kms from Guruvayoor Temple (Sri Krishna Temple). The highlight of the beach is the estuary, where a river merges into the sea. Although Chavakkad is a popular beach in Thrissur, it exudes serenity and offers an isolated place for those who want to escape from the clamour of the city.
1490;1;Cherai Beach;40,18;Kochi;Kerela;Cherai,Beach,Kochi,Kerela;State:Kerela,Dist/Location:Kochi;Along with being a coconut tree fringed beach, Cherai beach in Kochi is also known for the multi-hued seashells. A picturesque beach, Cherai remains crowded year round. The major attraction of the beach is the point where the backwater meets the sea. The tides are usually low here, thus creating a wonderful opportunity for swimming for beginners as well. It is a fun place to go with family and friends and of course splashing water on each other is the the best activity to take up here.
1491;1;Kappil Beach;40,18;Thiruvananthapuram;Kerela;Kappil,Beach,Thiruvananthapuram,Kerela;State:Kerela,Dist/Location:Thiruvananthapuram;An isolated beach, Kappil beach is idyllic for a quiet and calm time in solace. Situated in Thiruvananthapuram district in Kerala, this pristine beach is adorned with rustic charm. It can be a perfect haunt for couples, poets and thinkers, who are always in search of isolated places to spend time. However, its fame is increasing and lots of tourists nowadays head to this beach in order to find respite from the noise of the maddening cities. So, before this beach also gets commercialized, one must visit it!
1492;1;Kizhunna Beach;40,18;Kozhikode;Kerela;Kizhunna,Beach,Kozhikode,Kerela;State:Kerela,Dist/Location:Kozhikode;The twin beaches in Kannur town in Kozhikhode district are amongst the most beautiful beaches in Kerala. Popularly known as the Kizhunna Ezhara beach, these are idyllic places to relax your tensed mind. The areas of the beach are protected by coves, so tourist can have plenty of good time here. Since, not many people know about this beach the ambiance here remains unspoilt.
1493;1;Kolavi Palam Beach;40,18;Kozhikode;Kerela;Kolavi,Palam,Beach,Kozhikode,Kerela;State:Kerela,Dist/Location:Kozhikode;The golden sand, swaying palms and the azure water…this descriptionmakes it look like any other beach in Kerala, well in reality it is not! It has a different charm as it is one of the most isolated beaches in Kerala. Less human interruption has kept Kolavipalam immaculate and tranquil, which are of course the pivotal features of this beach. If you seek a private time amidst nature, Kolavipalam is the place for you. The beach is also home to Olive Ridley turtles that can be spotted commonly here. Kolavipalam beach is situated in Payyoli in Kozhikode district.
1494;1;Kozhikode Beach;40,18;Kozhikode;Kerela;Kozhikode,Beach,Kozhikode,Kerela;State:Kerela,Dist/Location:Kozhikode;eckoned to offer some of the best sunset views in Kerala, Kozhikode beach is one of its kinds. The two piers that stand in the middle of the sea, the lighthouse erected on the shore, Marine Water Aquarium and Lions Park are the tourist attractions on the beach. Apart from that, the sunrise and sunset are definitely something that you must not miss out here. The evenings are the most magical parts here, when most of us would like to spend time with someone special.
