ID;Width;Height
1;27.175015;78.042155
8;19.804756;85.815763
9;19.8876;86.092342
10;19.687879;85.097782
11;20.238235;85.83159
12;19.79683;85.799907
13;19.797322;85.272962
14;0;0
15;20.192355;85.837364
16;20.258092;85.760575
17;20.258092;85.760575
18;20.243412;85.841316
19;21.750005;86.331139
20;20.39578;85.823787
21;20.485198;85.862422
22;20.642065;86.334059
23;20.681741;85.760986
24;20.603049;85.560702
25;21.760556;85.114271
26;20.78815;85.716594
27;19.665524;85.211494
28;19.754794;85.705027
29;19.905895;84.119439
30;20.262142;86.652531
31;19.303918;84.963305
32;18.798687;82.607773
33;18.53171;82.461282
34;18.822825;82.164412
35;20.610612;84.772353
36;21.530021;83.851565
37;0;0
38;21.603163;85.54911
39;21.393439;85.894553
40;19.482614;84.38735
41;0;0
42;21.706009;86.442788
43;0;0
44;21.560398;84.685916
45;19.35792;83.504826
46;0;0
47;20.895719;82.825939
48;22.111073;85.467405
49;21.84509;85.374714
50;0;0
51;0;0
52;20.545541;84.187884
53;20.218193;85.323343
54;20.192284;85.838071
55;21.932895;86.377993
56;0;0
57;21.196136;84.444764
58;21.497219;84.288882
59;0;0
60;19.864376;86.045668
61;20.713816;86.865673
62;20.348781;85.661843
63;19.693085;85.295665
64;21.557065;83.643289
65;0;0
66;21.279702;86.286745
67;19.67193;83.033944
68;21.162289;86.523989
69;19.831934;83.714168
70;21.417119;86.598431
71;0;0
72;20.544554;84.829835
73;18.733279;82.810993
74;20.743648;86.998261
75;18.921989;72.83246
76;18.977397;72.804279
77;19.016897;72.828209
78;18.939826;72.833274
79;19.071959;73.533453
80;18.516427;73.853909
81;16.225012;74.350153
82;19.046513;72.820244
83;19.228169;72.803818
84;18.959902;72.803867
85;20.21136;79.40487
86;18.783161;73.467938
87;19.232453;72.803239
88;18.963353;72.929292
89;18.767218;73.278647
90;18.552331;73.899306
91;18.519558;73.853187
92;18.366309;73.753682
93;18.510819;73.852263
94;18.497118;73.844792
95;18.982752;72.806771
96;18.526936;73.847983
97;19.229812;72.89406
98;19.205856;72.904656
99;18.954273;72.807696
100;19.901471;75.318035
101;18.704941;73.454275
102;18.539031;73.825572
103;18.454264;73.85767
104;18.721324;73.395733
105;18.234691;73.44425
106;18.299909;72.962239
107;18.927115;72.82953
108;20.006878;73.686306
109;18.441182;73.762087
110;20.389468;73.908651
111;19.939792;73.745937
112;18.951702;72.82865
113;16.688733;74.206418
114;18.954723;72.802524
115;16.810036;74.098109
116;19.601267;73.691599
117;19.889597;75.313332
118;19.160515;77.308351
119;19.196226;73.854782
120;19.027075;72.835907
121;20.02335;75.175248
122;18.943824;72.820521
123;18.909565;72.801638
124;17.925862;73.631229
125;19.340645;73.765776
126;18.538033;73.78364
127;19.105931;72.823528
128;18.9248;72.818889
129;18.990281;73.237801
130;22.544813;88.340364
131;22.654914;88.355337
132;22.557891;88.348933
133;22.539652;88.39387
134;21.564034;88.888882
135;26.994827;88.283228
136;26.872153;88.328588
137;22.564613;88.341071
138;27.058615;88.252211
139;22.585153;88.344611
140;27.027611;88.256827
141;27.016702;88.244901
142;22.602151;88.463628
143;22.63219;88.353697
144;26.756362;88.795285
145;22.520248;88.339893
146;22.55466;88.328432
147;22.582148;88.357978
148;22.577685;88.353836
149;22.534892;88.36158
150;22.562865;88.347036
151;22.571332;88.419655
152;22.556643;88.326353
153;22.553652;88.328141
154;22.530461;88.362733
155;22.56597;88.344204
156;22.508166;88.343189
157;22.537468;88.329672
158;22.561916;88.463073
159;22.542986;88.343263
160;22.560792;88.284459
161;22.563601;88.349738
162;22.569059;88.40685
163;27.050039;88.267846
164;22.565564;88.350046
165;24.996886;88.144138
166;22.544248;88.344488
167;22.930479;88.382431
168;22.558692;88.288927
169;0;0
170;23.344044;86.806535
171;0;0
172;21.654507;87.650561
173;21.662772;87.570282
174;21.55957;88.259386
175;21.625124;87.505333
176;28.656164;77.238826
177;28.524433;77.183262
178;28.593313;77.248507
179;28.553497;77.256632
180;28.612678;77.275068
181;28.5931;77.217485
182;28.612917;77.227316
183;28.626333;77.206901
184;28.650684;77.231248
185;28.627059;77.214433
186;28.609579;77.241543
187;28.6514;77.222892
188;28.614365;77.197427
189;28.640626;77.247306
190;28.611804;77.217299
191;28.632799;77.196799
192;28.555902;77.251749
193;28.524771;77.182958
194;28.591392;77.23967
195;28.617219;77.205933
196;28.601775;77.212145
197;28.585702;77.177571
198;28.601885;77.245506
199;28.51394;77.194724
200;28.554884;77.190898
201;28.658905;77.238802
202;28.519641;77.185088
203;28.613248;77.243106
204;28.528932;77.255573
205;28.618129;77.199698
206;28.656005;77.230354
207;28.655709;77.233921
208;28.519683;77.186627
209;28.524751;77.182772
210;28.630008;77.212797
211;28.524995;77.180349
212;28.602656;77.196587
213;28.603881;77.19594
214;28.630413;77.239522
215;28.62876;77.204516
216;28.656622;77.220041
217;28.602608;77.196546
218;28.531508;77.217525
219;28.58285;77.232173
220;28.616818;77.241165
221;13.683278;79.345223
222;17.383314;78.398859
223;17.749221;83.340008
224;16.497196;80.579926
225;17.361569;78.47247
226;17.766796;83.246248
227;16.515435;80.603776
228;16.073865;78.865952
229;17.406242;78.466866
230;16.57485;79.308076
231;17.424146;78.456964
232;14.165579;77.805227
233;17.403186;78.468516
234;17.371378;78.478225
235;13.06598;80.264906
236;17.395012;78.39456
237;17.76489;83.346021
238;13.749377;79.696063
239;17.254306;78.678573
240;17.331335;78.463977
241;17.357828;78.469496
242;17.3507;78.450119
243;17.374434;78.279674
244;13.80321;77.610172
245;17.365058;78.47991
246;17.358687;78.296599
247;15.839671;80.504725
248;17.409673;78.4708
249;17.412622;78.46659
250;17.343637;78.501953
251;17.341473;78.582694
252;17.376158;78.375907
253;17.344841;78.429845
254;16.514777;80.590201
255;17.720866;83.331739
256;17.431313;78.385681
257;17.43273;78.47344
258;17.313404;78.315054
259;17.358414;78.339358
260;17.311986;77.854807
261;17.609635;78.548313
262;17.420594;78.419364
263;17.414365;78.478737
264;17.399179;78.467934
265;18.877592;77.954003
266;17.403456;78.464779
267;17.589459;78.942437
268;17.433745;78.499402
269;17.046607;82.275387
270;16.732539;82.214984
271;16.244834;81.235394
272;15.795645;80.411977
273;17.890385;83.453452
274;27.582049;91.861431
275;27.443467;96.533451
276;0;0
277;27.559629;93.758308
278;28.061732;95.305153
279;28.142956;95.820455
280;27.09836;92.815635
281;27.986083;94.212935
282;29.191587;95.981064
283;26.985491;75.849151
284;26.926142;75.821608
285;26.923941;75.82455
286;26.297813;73.01628
287;26.926142;75.821608
288;26.924767;75.822366
289;26.985093;75.843399
290;24.572019;73.670224
291;26.912387;70.910131
292;26.892166;75.813336
293;25.152829;73.584804
294;26.281064;73.045499
295;26.937289;75.813322
296;26.953718;75.837524
297;24.575304;73.691501
298;24.579722;73.681923
299;27.159274;77.521006
300;26.876255;75.79068
301;28.021916;73.31651
302;24.567599;73.675568
303;24.609387;72.720786
304;24.601652;73.663055
305;24.59328;73.6372
306;25.000036;73.482447
307;24.603062;73.683853
308;26.911681;75.817276
309;26.304398;73.023106
310;24.887008;74.642535
311;26.487683;74.551835
312;26.898072;75.805898
313;26.330294;73.015367
314;26.283352;72.957891
315;27.007209;76.604469
316;26.487364;74.546636
317;26.442331;74.615469
318;28.040356;73.326628
319;26.915535;75.807799
320;24.599633;73.678681
321;24.579929;73.679732
322;24.574294;73.681821
323;26.478261;74.604917
324;26.913728;70.9139
325;26.871835;70.7823
326;24.595289;72.701979
327;26.445795;74.566834
328;27.471823;77.322435
329;26.017332;76.50038
330;27.328495;76.430976
331;9.609439;77.142948
332;8.482783;76.941397
333;8.469866;76.95329
334;8.469872;76.951096
335;10.594557;76.037165
336;11.795555;75.431237
337;10.14172;76.16928
338;9.671953;76.251304
339;9.95828;76.257155
340;9.957485;76.257168
341;11.911703;75.99366
342;9.964942;76.240739
343;9.983736;76.272999
344;9.629721;76.421574
345;10.13697;77.057229
346;9.952644;76.36172
347;8.508965;76.952976
348;11.511775;76.079925
349;10.052778;77.101363
350;9.487762;76.310252
351;10.104449;77.121417
352;10.169536;77.061431
353;9.383086;76.367142
354;9.150315;76.506407
355;10.139148;76.665257
356;11.872823;75.345475
357;10.153139;76.149938
358;10.916084;75.917351
359;10.212869;76.199997
360;9.61819;76.382647
361;9.962066;76.237935
362;11.625802;76.233406
363;11.859455;75.375211
364;0;0
365;10.531257;76.213676
366;9.968455;76.280021
367;9.408523;76.409008
368;9.328062;76.685637
369;9.963754;76.235257
370;12.04841;75.353234
371;10.533446;76.20932
372;11.989987;75.391851
373;11.254463;75.777753
374;9.227606;76.515054
375;11.989495;75.386231
376;10.520975;76.216205
377;9.46216;77.234653
378;9.960622;76.235985
379;24.695927;84.989225
380;25.620433;85.137368
381;25.596005;85.227733
382;25.597357;85.098105
383;24.777408;85.007061
384;25.612676;85.13104
385;25.593346;85.228553
386;25.541617;85.157569
387;25.598244;85.195113
388;25.604077;85.134358
389;25.624874;85.206489
390;25.610341;85.129747
391;24.948086;84.007056
392;25.616222;85.138639
393;24.699617;85.62643
394;25.019332;85.370849
395;24.695925;84.989081
396;24.694683;84.989212
397;24.300037;81.232447
398;25.022119;85.420315
399;25.573163;83.967776
400;26.403358;86.166329
401;25.144975;85.451802
402;25.091443;85.536756
403;0;0
404;31.619985;74.874291
405;31.620648;74.877915
406;31.627212;74.865168
407;31.620636;74.873227
408;31.637954;74.876479
409;31.604762;74.571942
410;31.170018;75.191224
411;30.603918;76.790269
412;32.425071;75.730787
413;0;0
414;0;0
415;0;0
416;30.757623;76.087395
417;29.986963;75.076425
418;31.3433;75.581148
419;30.653049;76.074346
420;31.619985;74.874291
421;31.617346;74.875014
422;30.757623;76.087395
423;29.957643;78.163067
424;31.382864;75.380829
425;31.674269;74.753901
426;15.500899;73.909433
427;15.314443;74.312113
428;15.503882;73.909998
429;15.498602;73.827306
430;15.508041;73.801012
431;15.50065;73.829125
432;15.606618;73.737514
433;15.515179;73.854297
434;15.327769;73.896728
435;15.289402;73.960212
436;15.398783;73.978789
437;15.493112;73.830954
438;15.264869;73.939283
439;15.492255;73.771509
440;15.505671;73.91292
441;15.551071;74.02447
442;15.429114;74.01691
443;15.086101;74.290258
444;15.023401;74.223638
445;15.439038;74.250386
446;15.401969;73.904327
447;15.314443;74.312113
448;15.552582;74.020836
449;0;0
450;15.552588;74.020826
451;15.161088;74.107717
452;0;0
453;12.196554;75.959989
454;12.92315;74.781877
455;15.3332;76.458947
456;12.431469;75.717317
457;13.932366;75.494502
458;13.33189;74.711278
459;14.821175;74.124927
460;14.538368;74.306588
461;15.364753;75.038935
462;15.866867;74.438228
463;15.250161;74.599511
464;13.313194;75.737343
465;16.829881;75.682432
466;17.339157;76.769728
467;12.943417;75.775473
468;17.908617;77.459442
469;13.012703;76.068879
470;15.264992;76.344659
471;15.921136;75.670309
472;15.135924;76.83638
473;12.413818;76.676141
474;13.382931;77.651464
475;12.669733;75.600915
476;11.66795;76.629719
477;12.041464;76.130455
