ID;Active (0/1);Name *;Categories (x,y,z...);Reference #;EAN13;Tags,(x,y,z...);Feature(Name:Value:Position);Description;Width;Height
1515;1;Bhoramdeo Temple;59,13;Kawardha;Chhattisgarh;Bhoramdeo,Temple,Kawardha,Chhattisgarh;State:Chhattisgarh,Dist/Location:Kawardha;;19.207225;81.697858
1516;1;Chitrakote Falls;59,47;Jagdalpur;Chhattisgarh;Chitrakote,Falls,Jagdalpur,Chhattisgarh;State:Chhattisgarh,Dist/Location:Jagdalpur;;21.27565;81.685272
1517;1;Ambuja City Center Mall;59;Raipur;Chhattisgarh;Ambuja,City,Center,Mall,Raipur,Chhattisgarh;State:Chhattisgarh,Dist/Location:Raipur;;21.239412;81.681745
1518;1;Magneto The Mall;59;Raipur;Chhattisgarh;Magneto,The,Mall,Raipur,Chhattisgarh;State:Chhattisgarh,Dist/Location:Raipur;;22.115253;81.146076
1519;1;Chhattisgarh City Center Mall;59;Raipur;Chhattisgarh;Chhattisgarh,City,Center,Mall,Raipur,Chhattisgarh;State:Chhattisgarh,Dist/Location:Raipur;;21.256217;81.641608
1520;1;Kailash and Kotumsar Cave;59,23;Jagdalpur;Chhattisgarh;Kailash,and,Kotumsar,Cave,Jagdalpur,Chhattisgarh;State:Chhattisgarh,Dist/Location:Jagdalpur;;18.906638;81.902856
1521;1;Shri Rajiv Lochan Mandir;59,13;Raipur;Chhattisgarh;Shri,Rajiv,Lochan,Mandir,Raipur,Chhattisgarh;State:Chhattisgarh,Dist/Location:Raipur;;20.96413;81.875172
1522;1;Chitrakote Falls;59,47;Jagdalpur;Chhattisgarh;Chitrakote,Falls,Jagdalpur,Chhattisgarh;State:Chhattisgarh,Dist/Location:Jagdalpur;;19.206474;81.558302
1523;1;Maitri Bagh;59,20;Durg;Chhattisgarh;Maitri,Bagh,Durg,Chhattisgarh;State:Chhattisgarh,Dist/Location:Durg;;21.174387;81.351154
1524;1;Tirathgarh Falls;59,47;Jagdalpur;Chhattisgarh;Tirathgarh,Falls,Jagdalpur,Chhattisgarh;State:Chhattisgarh,Dist/Location:Jagdalpur;;18.913968;81.862883
1525;1;MM Fun City;59;Raipur;Chhattisgarh;MM,Fun,City,Raipur,Chhattisgarh;State:Chhattisgarh,Dist/Location:Raipur;;21.237057;81.820147
1526;1;Urja Park;59,20;Raipur;Chhattisgarh;Urja,Park,Raipur,Chhattisgarh;State:Chhattisgarh,Dist/Location:Raipur;;21.637106;81.140783
1527;1;Shadani Darbar;59,25;Raipur;Chhattisgarh;Shadani,Darbar,Raipur,Chhattisgarh;State:Chhattisgarh,Dist/Location:Raipur;;21.220413;81.643192
1528;1;Gandhi Udyan Park;59,20;Raipur;Chhattisgarh;Gandhi,Udyan,Park,Raipur,Chhattisgarh;State:Chhattisgarh,Dist/Location:Raipur;;21.239314;81.626009
1529;1;Barnawapara Wildlife Sanctuary;59,21;Barnawapara;Chhattisgarh;Barnawapara,Wildlife,Sanctuary,Barnawapara,Chhattisgarh;State:Chhattisgarh,Dist/Location:Barnawapara;;21.430739;82.272464
1530;1;Kevalya Dham Jain Temple;59,13;Raipur;Chhattisgarh;Kevalya,Dham,Jain,Temple,Raipur,Chhattisgarh;State:Chhattisgarh,Dist/Location:Raipur;;21.247322;81.525909
1531;1;Naya Raipur Central Park;59,20;Raipur;Chhattisgarh;Naya,Raipur,Central,Park,Raipur,Chhattisgarh;State:Chhattisgarh,Dist/Location:Raipur;;1.156324;81.781273
1532;1;Achanakmar Wildlife Sanctuary;59,21;Bilaspur;Chhattisgarh;Achanakmar,Wildlife,Sanctuary,Bilaspur,Chhattisgarh;State:Chhattisgarh,Dist/Location:Bilaspur;;22.505154;81.776508
1533;1;Nandan Van Nature Center;59;Raipur;Chhattisgarh;Nandan,Van,Nature,Center,Raipur,Chhattisgarh;State:Chhattisgarh,Dist/Location:Raipur;;21.282936;81.541659
1534;1;Mahant Ghasidas Memorial Museum;59,26;Raipur;Chhattisgarh;Mahant,Ghasidas,Memorial,Museum,Raipur,Chhattisgarh;State:Chhattisgarh,Dist/Location:Raipur;;21.243714;81.642815
1535;1;Kanan Pendari Zoo Park;59,21;Bilaspur;Chhattisgarh;Kanan,Pendari,Zoo,Park,Bilaspur,Chhattisgarh;State:Chhattisgarh,Dist/Location:Bilaspur;;22.112244;82.056226
1536;1;Ghatarani Waterfalls;59,47;Raipur;Chhattisgarh;Ghatarani,Waterfalls,Raipur,Chhattisgarh;State:Chhattisgarh,Dist/Location:Raipur;;20.827992;82.05746
1537;1;City Mall 36;59;Bilaspur;Chhattisgarh;City,Mall,36,Bilaspur,Chhattisgarh;State:Chhattisgarh,Dist/Location:Bilaspur;;21.663475;81.57823
1538;1;Lakshman Temple;59,13;Mahasamund;Chhattisgarh;Lakshman,Temple,Mahasamund,Chhattisgarh;State:Chhattisgarh,Dist/Location:Mahasamund;;21.352865;82.18477
1539;1;Kanger Valley National Park;59,21;Jagdalpur;Chhattisgarh;Kanger,Valley,National,Park,Jagdalpur,Chhattisgarh;State:Chhattisgarh,Dist/Location:Jagdalpur;;18.77866;81.994917
